minute,group,max_divergence,max_prediction_error
2026-08-21T11:00Z,char-asset,0,0
2026-08-21T11:00Z,char-contract,0,0
2026-08-21T11:00Z,char-detail,0,0
2026-08-21T11:00Z,char-industry,0,0
2026-08-21T11:00Z,char-killmail,0,0
2026-08-21T11:00Z,char-location,0,0
2026-08-21T11:00Z,char-notification,0,0
2026-08-21T11:00Z,char-social,0,0
2026-08-21T11:00Z,char-wallet,0,0
2026-08-21T11:00Z,fitting,0,0
2026-08-21T11:01Z,char-asset,0,0
2026-08-21T11:01Z,char-contract,0,0
2026-08-21T11:01Z,char-detail,0,0
2026-08-21T11:01Z,char-industry,0,0
2026-08-21T11:01Z,char-killmail,0,0
2026-08-21T11:01Z,char-location,0,0
2026-08-21T11:01Z,char-notification,0,0
2026-08-21T11:01Z,char-social,0,2
2026-08-21T11:01Z,char-wallet,0,0
2026-08-21T11:01Z,fitting,0,0
2026-08-21T11:02Z,char-asset,0,0
2026-08-21T11:02Z,char-contract,0,0
2026-08-21T11:02Z,char-detail,0,0
2026-08-21T11:02Z,char-industry,0,0
2026-08-21T11:02Z,char-killmail,0,0
2026-08-21T11:02Z,char-location,0,0
2026-08-21T11:02Z,char-notification,0,0
2026-08-21T11:02Z,char-social,0,2
2026-08-21T11:02Z,char-wallet,0,0
2026-08-21T11:02Z,fitting,0,0
2026-08-21T11:03Z,char-asset,0,0
2026-08-21T11:03Z,char-contract,0,0
2026-08-21T11:03Z,char-detail,0,2
2026-08-21T11:03Z,char-industry,0,0
2026-08-21T11:03Z,char-killmail,0,0
2026-08-21T11:03Z,char-location,0,0
2026-08-21T11:03Z,char-notification,0,0
2026-08-21T11:03Z,char-social,0,0
2026-08-21T11:03Z,char-wallet,0,0
2026-08-21T11:03Z,fitting,0,0
2026-08-21T11:04Z,char-asset,0,0
2026-08-21T11:04Z,char-contract,0,0
2026-08-21T11:04Z,char-detail,0,2
2026-08-21T11:04Z,char-industry,0,0
2026-08-21T11:04Z,char-killmail,0,0
2026-08-21T11:04Z,char-location,0,0
2026-08-21T11:04Z,char-notification,0,0
2026-08-21T11:04Z,char-social,0,0
2026-08-21T11:04Z,char-wallet,0,0
2026-08-21T11:04Z,fitting,0,0
2026-08-21T11:05Z,char-asset,0,0
2026-08-21T11:05Z,char-contract,0,0
2026-08-21T11:05Z,char-detail,0,2
2026-08-21T11:05Z,char-industry,0,0
2026-08-21T11:05Z,char-killmail,0,0
2026-08-21T11:05Z,char-location,0,0
2026-08-21T11:05Z,char-notification,0,0
2026-08-21T11:05Z,char-social,0,0
2026-08-21T11:05Z,char-wallet,0,0
2026-08-21T11:05Z,fitting,0,0
2026-08-21T11:06Z,char-asset,0,0
2026-08-21T11:06Z,char-contract,0,0
2026-08-21T11:06Z,char-detail,0,2
2026-08-21T11:06Z,char-industry,0,0
2026-08-21T11:06Z,char-killmail,0,0
2026-08-21T11:06Z,char-location,0,0
2026-08-21T11:06Z,char-notification,0,0
2026-08-21T11:06Z,char-social,0,0
2026-08-21T11:06Z,char-wallet,0,0
2026-08-21T11:06Z,fitting,0,0
2026-08-21T11:07Z,char-asset,0,0
2026-08-21T11:07Z,char-contract,0,0
2026-08-21T11:07Z,char-detail,0,2
2026-08-21T11:07Z,char-industry,0,0
2026-08-21T11:07Z,char-killmail,0,0
2026-08-21T11:07Z,char-location,0,0
2026-08-21T11:07Z,char-notification,0,0
2026-08-21T11:07Z,char-social,0,0
2026-08-21T11:07Z,char-wallet,0,0
2026-08-21T11:07Z,fitting,0,0
2026-08-21T11:08Z,char-asset,0,0
2026-08-21T11:08Z,char-contract,0,0
2026-08-21T11:08Z,char-detail,0,0
2026-08-21T11:08Z,char-industry,0,0
2026-08-21T11:08Z,char-killmail,0,0
2026-08-21T11:08Z,char-location,0,0
2026-08-21T11:08Z,char-notification,0,0
2026-08-21T11:08Z,char-social,0,7
2026-08-21T11:08Z,char-wallet,0,0
2026-08-21T11:08Z,fitting,0,0
2026-08-21T11:09Z,char-asset,0,0
2026-08-21T11:09Z,char-contract,0,0
2026-08-21T11:09Z,char-detail,0,0
2026-08-21T11:09Z,char-industry,0,0
2026-08-21T11:09Z,char-killmail,0,0
2026-08-21T11:09Z,char-location,0,0
2026-08-21T11:09Z,char-notification,0,0
2026-08-21T11:09Z,char-social,0,0
2026-08-21T11:09Z,char-wallet,0,0
2026-08-21T11:09Z,fitting,0,0
2026-08-21T11:10Z,char-asset,0,0
2026-08-21T11:10Z,char-contract,0,0
2026-08-21T11:10Z,char-detail,0,0
2026-08-21T11:10Z,char-industry,0,0
2026-08-21T11:10Z,char-killmail,0,2
2026-08-21T11:10Z,char-location,0,0
2026-08-21T11:10Z,char-notification,0,0
2026-08-21T11:10Z,char-social,0,0
2026-08-21T11:10Z,char-wallet,0,0
2026-08-21T11:10Z,fitting,0,0
2026-08-21T11:11Z,char-asset,0,0
2026-08-21T11:11Z,char-contract,0,0
2026-08-21T11:11Z,char-detail,0,0
