upstream_path,status,entity_kind,unmapped_reason
/corporations/{corporation_id}/structures/sovereignty-hubs/{sovereignty_hub_id},mapped,corporation,
/corporations/{corporation_id}/titles,mapped,corporation,
/corporations/{corporation_id}/wallets,mapped,corporation,
/corporations/{corporation_id}/wallets/{division}/journal,mapped,corporation,
/corporations/{corporation_id}/wallets/{division}/transactions,mapped,corporation,
/dogma/attributes,deliberately-unmapped,,sde
/dogma/attributes/{attribute_id},deliberately-unmapped,,sde
/dogma/dynamic/items/{type_id}/{item_id},deliberately-unmapped,,no-capability
/dogma/effects,deliberately-unmapped,,sde
/dogma/effects/{effect_id},deliberately-unmapped,,sde
/fleets/{fleet_id},deliberately-unmapped,,post-v1.0
/fleets/{fleet_id}/members,deliberately-unmapped,,post-v1.0
/fleets/{fleet_id}/wings,deliberately-unmapped,,post-v1.0
/freelance-jobs,deliberately-unmapped,,post-v1.0
/freelance-jobs/{job_id},deliberately-unmapped,,post-v1.0
/fw/leaderboards,deliberately-unmapped,,no-capability
/fw/leaderboards/characters,deliberately-unmapped,,no-capability
/fw/leaderboards/corporations,deliberately-unmapped,,no-capability
/fw/stats,deliberately-unmapped,,no-capability
/fw/systems,deliberately-unmapped,,no-capability
/fw/wars,deliberately-unmapped,,no-capability
/incursions,deliberately-unmapped,,no-capability
/industry/facilities,deliberately-unmapped,,no-capability
/industry/systems,deliberately-unmapped,,no-capability
/insurance/prices,deliberately-unmapped,,not-built
/killmails/{killmail_id}/{killmail_hash},deliberately-unmapped,,not-built
/loyalty/stores/{corporation_id}/offers,deliberately-unmapped,,no-capability
/markets/groups,deliberately-unmapped,,sde
/markets/groups/{market_group_id},deliberately-unmapped,,sde
/markets/prices,mapped,global,
/markets/structures/{structure_id},deliberately-unmapped,,post-v1.0
/markets/{region_id}/history,mapped,global,
/markets/{region_id}/orders,deliberately-unmapped,,not-built
/markets/{region_id}/types,deliberately-unmapped,,not-built
/meta/changelog,deliberately-unmapped,,no-capability
/meta/compatibility-dates,deliberately-unmapped,,no-capability
/meta/name,deliberately-unmapped,,no-capability
/meta/status,deliberately-unmapped,,not-built
/military-campaigns,deliberately-unmapped,,post-v1.0
/military-campaigns/{campaign_id},deliberately-unmapped,,post-v1.0
/military-campaigns/{campaign_id}/objectives,deliberately-unmapped,,post-v1.0
/military-campaigns/{campaign_id}/objectives/{objective_id},deliberately-unmapped,,post-v1.0
/skyhooks/raidable,deliberately-unmapped,,no-capability
/sovereignty/campaigns,mapped,global,
/sovereignty/systems,mapped,global,
/status,mapped,global,
/universe/ancestries,deliberately-unmapped,,sde
/universe/asteroid_belts/{asteroid_belt_id},deliberately-unmapped,,sde
/universe/bloodlines,deliberately-unmapped,,sde
/universe/categories,deliberately-unmapped,,sde
/universe/categories/{category_id},deliberately-unmapped,,sde
/universe/constellations,deliberately-unmapped,,sde
/universe/constellations/{constellation_id},deliberately-unmapped,,sde
/universe/factions,deliberately-unmapped,,sde
/universe/graphics,deliberately-unmapped,,sde
/universe/graphics/{graphic_id},deliberately-unmapped,,sde
/universe/groups,deliberately-unmapped,,sde
/universe/groups/{group_id},deliberately-unmapped,,sde
/universe/moons/{moon_id},deliberately-unmapped,,sde
/universe/planets/{planet_id},deliberately-unmapped,,sde
/universe/races,deliberately-unmapped,,sde
/universe/regions,deliberately-unmapped,,sde
/universe/regions/{region_id},deliberately-unmapped,,sde
/universe/schematics/{schematic_id},deliberately-unmapped,,sde
/universe/stargates/{stargate_id},deliberately-unmapped,,sde
/universe/stars/{star_id},deliberately-unmapped,,sde
/universe/stations/{station_id},deliberately-unmapped,,not-built
/universe/structures,deliberately-unmapped,,no-capability
/universe/structures/{structure_id},deliberately-unmapped,,not-built
/universe/system_jumps,deliberately-unmapped,,no-capability
/universe/system_kills,deliberately-unmapped,,no-capability
/universe/systems,deliberately-unmapped,,sde
/universe/systems/{system_id},deliberately-unmapped,,sde
/universe/types,deliberately-unmapped,,sde
/universe/types/{type_id},deliberately-unmapped,,sde
/wars,deliberately-unmapped,,notification-sourced
/wars/{war_id},deliberately-unmapped,,notification-sourced
/wars/{war_id}/killmails,deliberately-unmapped,,notification-sourced
