minute,group,max_divergence,max_prediction_error
2026-08-17T09:34Z,char-asset,0,0
2026-08-17T09:34Z,char-contract,0,0
2026-08-17T09:34Z,char-detail,0,2
2026-08-17T09:34Z,char-industry,0,2
2026-08-17T09:34Z,char-killmail,0,0
2026-08-17T09:34Z,char-location,0,0
2026-08-17T09:34Z,char-notification,0,0
2026-08-17T09:34Z,char-social,0,0
2026-08-17T09:34Z,char-wallet,0,0
2026-08-17T09:34Z,fitting,0,0
2026-08-17T09:35Z,char-asset,0,0
2026-08-17T09:35Z,char-contract,0,0
2026-08-17T09:35Z,char-detail,0,2
2026-08-17T09:35Z,char-industry,0,2
2026-08-17T09:35Z,char-killmail,0,0
2026-08-17T09:35Z,char-location,0,2
2026-08-17T09:35Z,char-notification,0,0
2026-08-17T09:35Z,char-social,0,2
2026-08-17T09:35Z,char-wallet,0,2
2026-08-17T09:35Z,fitting,0,0
2026-08-17T09:36Z,char-asset,0,0
2026-08-17T09:36Z,char-contract,0,0
2026-08-17T09:36Z,char-detail,0,2
2026-08-17T09:36Z,char-industry,0,4
2026-08-17T09:36Z,char-killmail,0,0
2026-08-17T09:36Z,char-location,0,2
2026-08-17T09:36Z,char-notification,0,0
2026-08-17T09:36Z,char-social,0,2
2026-08-17T09:36Z,char-wallet,0,2
2026-08-17T09:36Z,fitting,0,0
2026-08-17T09:37Z,char-asset,0,0
2026-08-17T09:37Z,char-contract,0,0
2026-08-17T09:37Z,char-detail,0,2
2026-08-17T09:37Z,char-industry,0,4
2026-08-17T09:37Z,char-killmail,0,0
2026-08-17T09:37Z,char-location,0,2
2026-08-17T09:37Z,char-notification,0,0
2026-08-17T09:37Z,char-social,0,2
2026-08-17T09:37Z,char-wallet,0,2
2026-08-17T09:37Z,fitting,0,0
2026-08-17T09:38Z,char-asset,0,0
2026-08-17T09:38Z,char-contract,0,0
2026-08-17T09:38Z,char-detail,0,2
2026-08-17T09:38Z,char-industry,0,4
2026-08-17T09:38Z,char-killmail,0,0
2026-08-17T09:38Z,char-location,0,2
2026-08-17T09:38Z,char-notification,0,0
2026-08-17T09:38Z,char-social,0,2
2026-08-17T09:38Z,char-wallet,0,2
2026-08-17T09:38Z,fitting,0,0
2026-08-17T09:39Z,char-asset,0,0
2026-08-17T09:39Z,char-contract,0,0
2026-08-17T09:39Z,char-detail,0,2
2026-08-17T09:39Z,char-industry,0,4
2026-08-17T09:39Z,char-killmail,0,0
2026-08-17T09:39Z,char-location,0,2
2026-08-17T09:39Z,char-notification,0,0
2026-08-17T09:39Z,char-social,0,2
2026-08-17T09:39Z,char-wallet,0,2
2026-08-17T09:39Z,fitting,0,0
2026-08-17T09:40Z,char-asset,0,0
2026-08-17T09:40Z,char-contract,0,0
2026-08-17T09:40Z,char-detail,0,2
2026-08-17T09:40Z,char-industry,0,4
2026-08-17T09:40Z,char-killmail,0,0
2026-08-17T09:40Z,char-location,0,2
2026-08-17T09:40Z,char-notification,0,0
2026-08-17T09:40Z,char-social,0,0
2026-08-17T09:40Z,char-wallet,0,2
2026-08-17T09:40Z,fitting,0,0
2026-08-17T09:41Z,char-asset,0,0
2026-08-17T09:41Z,char-contract,0,0
2026-08-17T09:41Z,char-detail,0,2
2026-08-17T09:41Z,char-industry,0,4
2026-08-17T09:41Z,char-killmail,0,0
2026-08-17T09:41Z,char-location,0,2
2026-08-17T09:41Z,char-notification,0,0
2026-08-17T09:41Z,char-social,0,2
2026-08-17T09:41Z,char-wallet,0,2
2026-08-17T09:41Z,fitting,0,0
2026-08-17T09:42Z,char-asset,0,0
2026-08-17T09:42Z,char-contract,0,0
2026-08-17T09:42Z,char-detail,0,2
2026-08-17T09:42Z,char-industry,0,4
2026-08-17T09:42Z,char-killmail,0,0
2026-08-17T09:42Z,char-location,0,7
2026-08-17T09:42Z,char-notification,0,0
2026-08-17T09:42Z,char-social,0,2
2026-08-17T09:42Z,char-wallet,0,4
2026-08-17T09:42Z,fitting,0,0
2026-08-17T09:43Z,char-asset,0,0
2026-08-17T09:43Z,char-contract,0,0
2026-08-17T09:43Z,char-detail,0,2
2026-08-17T09:43Z,char-industry,0,4
2026-08-17T09:43Z,char-killmail,0,0
2026-08-17T09:43Z,char-location,0,2
2026-08-17T09:43Z,char-notification,0,0
2026-08-17T09:43Z,char-social,0,4
2026-08-17T09:43Z,char-wallet,0,2
2026-08-17T09:43Z,fitting,0,0
2026-08-17T09:44Z,char-asset,0,0
2026-08-17T09:44Z,char-contract,0,0
2026-08-17T09:44Z,char-detail,0,2
2026-08-17T09:44Z,char-industry,0,4
2026-08-17T09:44Z,char-killmail,0,0
2026-08-17T09:44Z,char-location,0,4
2026-08-17T09:44Z,char-notification,0,0
2026-08-17T09:44Z,char-social,0,6
2026-08-17T09:44Z,char-wallet,0,2
2026-08-17T09:44Z,fitting,0,0
2026-08-17T09:45Z,char-asset,0,0
2026-08-17T09:45Z,char-contract,0,0
2026-08-17T09:45Z,char-detail,0,2
2026-08-17T09:45Z,char-industry,0,4
2026-08-17T09:45Z,char-killmail,0,0
2026-08-17T09:45Z,char-location,0,2
2026-08-17T09:45Z,char-notification,0,0
2026-08-17T09:45Z,char-social,0,2
2026-08-17T09:45Z,char-wallet,0,2
2026-08-17T09:45Z,fitting,0,0
2026-08-17T09:46Z,char-asset,0,0
2026-08-17T09:46Z,char-contract,0,0
2026-08-17T09:46Z,char-detail,0,2
2026-08-17T09:46Z,char-industry,0,4
2026-08-17T09:46Z,char-killmail,0,0
2026-08-17T09:46Z,char-location,0,2
2026-08-17T09:46Z,char-notification,0,0
2026-08-17T09:46Z,char-social,0,2
2026-08-17T09:46Z,char-wallet,0,2
2026-08-17T09:46Z,fitting,0,0
2026-08-17T09:47Z,char-asset,0,0
2026-08-17T09:47Z,char-contract,0,0
2026-08-17T09:47Z,char-detail,0,2
2026-08-17T09:47Z,char-industry,0,4
2026-08-17T09:47Z,char-killmail,0,0
2026-08-17T09:47Z,char-location,0,2
2026-08-17T09:47Z,char-notification,0,0
2026-08-17T09:47Z,char-social,0,2
2026-08-17T09:47Z,char-wallet,0,2
2026-08-17T09:47Z,fitting,0,0
2026-08-17T09:48Z,char-asset,0,0
2026-08-17T09:48Z,char-contract,0,0
2026-08-17T09:48Z,char-detail,0,2
2026-08-17T09:48Z,char-industry,0,4
2026-08-17T09:48Z,char-killmail,0,0
2026-08-17T09:48Z,char-location,0,2
2026-08-17T09:48Z,char-notification,0,0
2026-08-17T09:48Z,char-social,0,2
2026-08-17T09:48Z,char-wallet,0,2
2026-08-17T09:48Z,fitting,0,0
2026-08-17T09:49Z,char-asset,0,0
2026-08-17T09:49Z,char-contract,0,0
2026-08-17T09:49Z,char-detail,0,2
2026-08-17T09:49Z,char-industry,0,4
2026-08-17T09:49Z,char-killmail,0,0
2026-08-17T09:49Z,char-location,0,2
2026-08-17T09:49Z,char-notification,0,0
2026-08-17T09:49Z,char-social,0,2
2026-08-17T09:49Z,char-wallet,0,2
2026-08-17T09:49Z,fitting,0,0
2026-08-17T09:50Z,char-asset,0,0
