minute,group,max_divergence,max_prediction_error
2026-08-17T05:28Z,char-asset,0,0
2026-08-17T05:28Z,char-contract,0,0
2026-08-17T05:28Z,char-detail,0,0
2026-08-17T05:28Z,char-industry,0,0
2026-08-17T05:28Z,char-killmail,0,0
2026-08-17T05:28Z,char-location,0,0
2026-08-17T05:28Z,char-notification,0,0
2026-08-17T05:28Z,char-social,0,0
2026-08-17T05:28Z,char-wallet,0,0
2026-08-17T05:28Z,fitting,0,0
2026-08-17T05:29Z,char-asset,0,0
2026-08-17T05:29Z,char-contract,0,0
2026-08-17T05:29Z,char-detail,0,0
2026-08-17T05:29Z,char-industry,0,0
2026-08-17T05:29Z,char-killmail,0,0
2026-08-17T05:29Z,char-location,0,0
2026-08-17T05:29Z,char-notification,0,0
2026-08-17T05:29Z,char-social,0,0
2026-08-17T05:29Z,char-wallet,0,0
2026-08-17T05:29Z,fitting,0,0
2026-08-17T05:30Z,char-asset,0,0
2026-08-17T05:30Z,char-contract,0,0
2026-08-17T05:30Z,char-detail,0,0
2026-08-17T05:30Z,char-industry,0,0
2026-08-17T05:30Z,char-killmail,0,0
2026-08-17T05:30Z,char-location,0,0
2026-08-17T05:30Z,char-notification,0,0
2026-08-17T05:30Z,char-social,0,0
2026-08-17T05:30Z,char-wallet,0,0
2026-08-17T05:30Z,fitting,0,0
2026-08-17T05:31Z,char-asset,0,0
2026-08-17T05:31Z,char-contract,0,0
2026-08-17T05:31Z,char-detail,0,0
2026-08-17T05:31Z,char-industry,0,0
2026-08-17T05:31Z,char-killmail,0,0
2026-08-17T05:31Z,char-location,0,0
2026-08-17T05:31Z,char-notification,0,0
2026-08-17T05:31Z,char-social,0,0
2026-08-17T05:31Z,char-wallet,0,0
2026-08-17T05:31Z,fitting,0,0
2026-08-17T05:32Z,char-asset,0,0
2026-08-17T05:32Z,char-contract,0,0
2026-08-17T05:32Z,char-detail,0,0
2026-08-17T05:32Z,char-industry,0,0
2026-08-17T05:32Z,char-killmail,0,0
2026-08-17T05:32Z,char-location,0,0
2026-08-17T05:32Z,char-notification,0,0
2026-08-17T05:32Z,char-social,0,0
2026-08-17T05:32Z,char-wallet,0,0
2026-08-17T05:32Z,fitting,0,0
2026-08-17T05:33Z,char-asset,0,0
2026-08-17T05:33Z,char-contract,0,0
2026-08-17T05:33Z,char-detail,0,0
2026-08-17T05:33Z,char-industry,0,0
2026-08-17T05:33Z,char-killmail,0,0
2026-08-17T05:33Z,char-location,0,0
2026-08-17T05:33Z,char-notification,0,0
2026-08-17T05:33Z,char-social,0,0
2026-08-17T05:33Z,char-wallet,0,0
2026-08-17T05:33Z,fitting,0,0
2026-08-17T05:34Z,char-asset,0,0
2026-08-17T05:34Z,char-contract,0,0
2026-08-17T05:34Z,char-detail,0,0
2026-08-17T05:34Z,char-industry,0,0
2026-08-17T05:34Z,char-killmail,0,0
2026-08-17T05:34Z,char-location,0,0
2026-08-17T05:34Z,char-notification,0,0
2026-08-17T05:34Z,char-social,0,0
2026-08-17T05:34Z,char-wallet,0,0
2026-08-17T05:34Z,fitting,0,0
2026-08-17T05:35Z,char-asset,0,0
2026-08-17T05:35Z,char-contract,0,0
2026-08-17T05:35Z,char-detail,0,0
2026-08-17T05:35Z,char-industry,0,0
2026-08-17T05:35Z,char-killmail,0,0
2026-08-17T05:35Z,char-location,0,0
2026-08-17T05:35Z,char-notification,0,0
2026-08-17T05:35Z,char-social,0,0
2026-08-17T05:35Z,char-wallet,0,0
2026-08-17T05:35Z,fitting,0,0
2026-08-17T05:36Z,char-asset,0,0
2026-08-17T05:36Z,char-contract,0,0
2026-08-17T05:36Z,char-detail,0,4
2026-08-17T05:36Z,char-industry,0,0
2026-08-17T05:36Z,char-killmail,0,0
2026-08-17T05:36Z,char-location,0,0
2026-08-17T05:36Z,char-notification,0,0
2026-08-17T05:36Z,char-social,0,0
2026-08-17T05:36Z,char-wallet,0,0
2026-08-17T05:36Z,fitting,0,0
2026-08-17T05:37Z,char-asset,0,0
2026-08-17T05:37Z,char-contract,0,0
2026-08-17T05:37Z,char-detail,0,0
2026-08-17T05:37Z,char-industry,0,0
2026-08-17T05:37Z,char-killmail,0,0
2026-08-17T05:37Z,char-location,0,0
2026-08-17T05:37Z,char-notification,0,0
2026-08-17T05:37Z,char-social,0,0
2026-08-17T05:37Z,char-wallet,0,0
2026-08-17T05:37Z,fitting,0,0
2026-08-17T05:38Z,char-asset,0,0
2026-08-17T05:38Z,char-contract,0,0
2026-08-17T05:38Z,char-detail,0,0
2026-08-17T05:38Z,char-industry,0,0
2026-08-17T05:38Z,char-killmail,0,0
2026-08-17T05:38Z,char-location,0,0
2026-08-17T05:38Z,char-notification,0,0
2026-08-17T05:38Z,char-social,0,0
2026-08-17T05:38Z,char-wallet,0,0
2026-08-17T05:38Z,fitting,0,0
2026-08-17T05:39Z,char-asset,0,0
2026-08-17T05:39Z,char-contract,0,0
2026-08-17T05:39Z,char-detail,0,0
2026-08-17T05:39Z,char-industry,0,0
2026-08-17T05:39Z,char-killmail,0,0
2026-08-17T05:39Z,char-location,0,0
2026-08-17T05:39Z,char-notification,0,0
2026-08-17T05:39Z,char-social,0,0
2026-08-17T05:39Z,char-wallet,0,0
2026-08-17T05:39Z,fitting,0,0
2026-08-17T05:40Z,char-asset,0,0
2026-08-17T05:40Z,char-contract,0,0
2026-08-17T05:40Z,char-detail,0,0
2026-08-17T05:40Z,char-industry,0,0
2026-08-17T05:40Z,char-killmail,0,0
2026-08-17T05:40Z,char-location,0,0
2026-08-17T05:40Z,char-notification,0,0
2026-08-17T05:40Z,char-social,0,0
2026-08-17T05:40Z,char-wallet,0,0
2026-08-17T05:40Z,fitting,0,0
2026-08-17T05:41Z,char-asset,0,0
2026-08-17T05:41Z,char-contract,0,0
2026-08-17T05:41Z,char-detail,0,0
2026-08-17T05:41Z,char-industry,0,0
2026-08-17T05:41Z,char-killmail,0,0
2026-08-17T05:41Z,char-location,0,0
2026-08-17T05:41Z,char-notification,0,0
2026-08-17T05:41Z,char-social,0,0
2026-08-17T05:41Z,char-wallet,0,0
2026-08-17T05:41Z,fitting,0,0
2026-08-17T05:42Z,char-asset,0,0
2026-08-17T05:42Z,char-contract,0,0
2026-08-17T05:42Z,char-detail,0,0
2026-08-17T05:42Z,char-industry,0,0
2026-08-17T05:42Z,char-killmail,0,0
2026-08-17T05:42Z,char-location,0,0
2026-08-17T05:42Z,char-notification,0,0
2026-08-17T05:42Z,char-social,0,0
2026-08-17T05:42Z,char-wallet,0,0
2026-08-17T05:42Z,fitting,0,0
2026-08-17T05:43Z,char-asset,0,0
2026-08-17T05:43Z,char-contract,0,0
2026-08-17T05:43Z,char-detail,0,0
2026-08-17T05:43Z,char-industry,0,0
2026-08-17T05:43Z,char-killmail,0,0
2026-08-17T05:43Z,char-location,0,0
2026-08-17T05:43Z,char-notification,0,0
2026-08-17T05:43Z,char-social,0,0
2026-08-17T05:43Z,char-wallet,0,0
2026-08-17T05:43Z,fitting,0,0
2026-08-17T05:44Z,char-asset,0,0
2026-08-17T05:44Z,char-contract,0,0
2026-08-17T05:44Z,char-detail,0,0
2026-08-17T05:44Z,char-industry,0,0
2026-08-17T05:44Z,char-killmail,0,0
2026-08-17T05:44Z,char-location,0,0
2026-08-17T05:44Z,char-notification,0,0
2026-08-17T05:44Z,char-social,0,0
2026-08-17T05:44Z,char-wallet,0,0
2026-08-17T05:44Z,fitting,0,0
2026-08-17T05:45Z,char-asset,0,0
2026-08-17T05:45Z,char-contract,0,0
2026-08-17T05:45Z,char-detail,0,0
2026-08-17T05:45Z,char-industry,0,0
2026-08-17T05:45Z,char-killmail,0,0
2026-08-17T05:45Z,char-location,0,0
2026-08-17T05:45Z,char-notification,0,0
2026-08-17T05:45Z,char-social,0,0
2026-08-17T05:45Z,char-wallet,0,0
2026-08-17T05:45Z,fitting,0,0
2026-08-17T05:46Z,char-asset,0,0
2026-08-17T05:46Z,char-contract,0,0
2026-08-17T05:46Z,char-detail,0,0
2026-08-17T05:46Z,char-industry,0,0
2026-08-17T05:46Z,char-killmail,0,0
2026-08-17T05:46Z,char-location,0,4
2026-08-17T05:46Z,char-notification,0,0
2026-08-17T05:46Z,char-social,0,0
2026-08-17T05:46Z,char-wallet,0,0
2026-08-17T05:46Z,fitting,0,0
2026-08-17T05:47Z,char-asset,0,0
2026-08-17T05:47Z,char-contract,0,0
2026-08-17T05:47Z,char-detail,0,0
2026-08-17T05:47Z,char-industry,0,0
2026-08-17T05:47Z,char-killmail,0,0
2026-08-17T05:47Z,char-location,0,0
2026-08-17T05:47Z,char-notification,0,0
2026-08-17T05:47Z,char-social,0,0
2026-08-17T05:47Z,char-wallet,0,0
2026-08-17T05:47Z,fitting,0,0
2026-08-17T05:48Z,char-asset,0,0
2026-08-17T05:48Z,char-contract,0,0
2026-08-17T05:48Z,char-detail,0,0
