minute,group,max_divergence,max_prediction_error
2026-08-21T15:05Z,char-asset,0,0
2026-08-21T15:05Z,char-contract,0,0
2026-08-21T15:05Z,char-detail,0,2
2026-08-21T15:05Z,char-industry,0,0
2026-08-21T15:05Z,char-killmail,0,0
2026-08-21T15:05Z,char-location,0,2
2026-08-21T15:05Z,char-notification,0,0
2026-08-21T15:05Z,char-social,0,2
2026-08-21T15:05Z,char-wallet,0,2
2026-08-21T15:05Z,fitting,0,0
2026-08-21T15:06Z,char-asset,0,0
2026-08-21T15:06Z,char-contract,0,0
2026-08-21T15:06Z,char-detail,0,2
2026-08-21T15:06Z,char-industry,0,2
2026-08-21T15:06Z,char-killmail,0,0
2026-08-21T15:06Z,char-location,0,2
2026-08-21T15:06Z,char-notification,0,0
2026-08-21T15:06Z,char-social,0,2
2026-08-21T15:06Z,char-wallet,0,2
2026-08-21T15:06Z,fitting,0,0
2026-08-21T15:07Z,char-asset,0,0
2026-08-21T15:07Z,char-contract,0,0
2026-08-21T15:07Z,char-detail,0,4
2026-08-21T15:07Z,char-industry,0,4
2026-08-21T15:07Z,char-killmail,0,0
2026-08-21T15:07Z,char-location,0,2
2026-08-21T15:07Z,char-notification,0,0
2026-08-21T15:07Z,char-social,0,0
2026-08-21T15:07Z,char-wallet,0,0
2026-08-21T15:07Z,fitting,0,0
2026-08-21T15:08Z,char-asset,0,0
2026-08-21T15:08Z,char-contract,0,0
2026-08-21T15:08Z,char-detail,0,6
2026-08-21T15:08Z,char-industry,0,4
2026-08-21T15:08Z,char-killmail,0,0
2026-08-21T15:08Z,char-location,0,2
2026-08-21T15:08Z,char-notification,0,0
2026-08-21T15:08Z,char-social,0,2
2026-08-21T15:08Z,char-wallet,0,2
2026-08-21T15:08Z,fitting,0,0
2026-08-21T15:09Z,char-asset,0,0
2026-08-21T15:09Z,char-contract,0,0
2026-08-21T15:09Z,char-detail,0,2
2026-08-21T15:09Z,char-industry,0,4
2026-08-21T15:09Z,char-killmail,0,0
2026-08-21T15:09Z,char-location,0,2
2026-08-21T15:09Z,char-notification,0,0
2026-08-21T15:09Z,char-social,0,2
2026-08-21T15:09Z,char-wallet,0,2
2026-08-21T15:09Z,fitting,0,0
2026-08-21T15:10Z,char-asset,0,0
2026-08-21T15:10Z,char-contract,0,0
2026-08-21T15:10Z,char-detail,0,4
2026-08-21T15:10Z,char-industry,0,4
2026-08-21T15:10Z,char-killmail,0,0
2026-08-21T15:10Z,char-location,0,2
2026-08-21T15:10Z,char-notification,0,0
2026-08-21T15:10Z,char-social,0,0
2026-08-21T15:10Z,char-wallet,0,2
2026-08-21T15:10Z,fitting,0,0
2026-08-21T15:11Z,char-asset,0,0
2026-08-21T15:11Z,char-contract,0,0
2026-08-21T15:11Z,char-detail,0,2
2026-08-21T15:11Z,char-industry,0,4
2026-08-21T15:11Z,char-killmail,0,0
2026-08-21T15:11Z,char-location,0,2
2026-08-21T15:11Z,char-notification,0,0
2026-08-21T15:11Z,char-social,0,2
2026-08-21T15:11Z,char-wallet,0,0
2026-08-21T15:11Z,fitting,0,0
2026-08-21T15:12Z,char-asset,0,0
2026-08-21T15:12Z,char-contract,0,0
2026-08-21T15:12Z,char-detail,0,2
2026-08-21T15:12Z,char-industry,0,4
2026-08-21T15:12Z,char-killmail,0,0
2026-08-21T15:12Z,char-location,0,2
2026-08-21T15:12Z,char-notification,0,0
2026-08-21T15:12Z,char-social,0,4
2026-08-21T15:12Z,char-wallet,0,2
2026-08-21T15:12Z,fitting,0,0
2026-08-21T15:13Z,char-asset,0,0
2026-08-21T15:13Z,char-contract,0,0
2026-08-21T15:13Z,char-detail,0,2
2026-08-21T15:13Z,char-industry,0,4
2026-08-21T15:13Z,char-killmail,0,0
2026-08-21T15:13Z,char-location,0,4
2026-08-21T15:13Z,char-notification,0,0
2026-08-21T15:13Z,char-social,0,2
2026-08-21T15:13Z,char-wallet,0,7
2026-08-21T15:13Z,fitting,0,0
2026-08-21T15:14Z,char-asset,0,0
2026-08-21T15:14Z,char-contract,0,0
2026-08-21T15:14Z,char-detail,0,2
2026-08-21T15:14Z,char-industry,0,4
2026-08-21T15:14Z,char-killmail,0,0
2026-08-21T15:14Z,char-location,0,2
2026-08-21T15:14Z,char-notification,0,0
2026-08-21T15:14Z,char-social,0,2
2026-08-21T15:14Z,char-wallet,0,7
2026-08-21T15:14Z,fitting,0,0
2026-08-21T15:15Z,char-asset,0,0
2026-08-21T15:15Z,char-contract,0,0
2026-08-21T15:15Z,char-detail,0,4
2026-08-21T15:15Z,char-industry,0,4
2026-08-21T15:15Z,char-killmail,0,0
2026-08-21T15:15Z,char-location,0,2
2026-08-21T15:15Z,char-notification,0,0
2026-08-21T15:15Z,char-social,0,2
2026-08-21T15:15Z,char-wallet,0,2
2026-08-21T15:15Z,fitting,0,0
2026-08-21T15:16Z,char-asset,0,0
2026-08-21T15:16Z,char-contract,0,0
2026-08-21T15:16Z,char-detail,0,2
2026-08-21T15:16Z,char-industry,0,4
2026-08-21T15:16Z,char-killmail,0,0
2026-08-21T15:16Z,char-location,0,2
2026-08-21T15:16Z,char-notification,0,0
2026-08-21T15:16Z,char-social,0,4
2026-08-21T15:16Z,char-wallet,0,4
2026-08-21T15:16Z,fitting,0,0
2026-08-21T15:17Z,char-asset,0,0
2026-08-21T15:17Z,char-contract,0,0
2026-08-21T15:17Z,char-detail,0,2
2026-08-21T15:17Z,char-industry,0,4
2026-08-21T15:17Z,char-killmail,0,0
2026-08-21T15:17Z,char-location,0,4
2026-08-21T15:17Z,char-notification,0,0
2026-08-21T15:17Z,char-social,0,2
2026-08-21T15:17Z,char-wallet,0,2
2026-08-21T15:17Z,fitting,0,0
2026-08-21T15:18Z,char-asset,0,0
2026-08-21T15:18Z,char-contract,0,0
2026-08-21T15:18Z,char-detail,0,10
2026-08-21T15:18Z,char-industry,0,4
2026-08-21T15:18Z,char-killmail,0,0
2026-08-21T15:18Z,char-location,0,2
2026-08-21T15:18Z,char-notification,0,0
2026-08-21T15:18Z,char-social,0,2
2026-08-21T15:18Z,char-wallet,0,2
2026-08-21T15:18Z,fitting,0,0
2026-08-21T15:19Z,char-asset,0,0
2026-08-21T15:19Z,char-contract,0,0
2026-08-21T15:19Z,char-detail,0,2
2026-08-21T15:19Z,char-industry,0,4
2026-08-21T15:19Z,char-killmail,0,0
2026-08-21T15:19Z,char-location,0,2
2026-08-21T15:19Z,char-notification,0,0
2026-08-21T15:19Z,char-social,0,2
2026-08-21T15:19Z,char-wallet,0,2
2026-08-21T15:19Z,fitting,0,0
2026-08-21T15:20Z,char-asset,0,0
2026-08-21T15:20Z,char-contract,0,0
2026-08-21T15:20Z,char-detail,0,2
2026-08-21T15:20Z,char-industry,0,4
2026-08-21T15:20Z,char-killmail,0,0
2026-08-21T15:20Z,char-location,0,4
2026-08-21T15:20Z,char-notification,0,0
2026-08-21T15:20Z,char-social,0,2
2026-08-21T15:20Z,char-wallet,0,0
2026-08-21T15:20Z,fitting,0,0
2026-08-21T15:21Z,char-asset,0,0
2026-08-21T15:21Z,char-contract,0,0
2026-08-21T15:21Z,char-detail,0,2
2026-08-21T15:21Z,char-industry,0,4
2026-08-21T15:21Z,char-killmail,0,0
2026-08-21T15:21Z,char-location,0,5
2026-08-21T15:21Z,char-notification,0,0
2026-08-21T15:21Z,char-social,0,2
2026-08-21T15:21Z,char-wallet,0,2
2026-08-21T15:21Z,fitting,0,0
2026-08-21T15:22Z,char-asset,0,0
2026-08-21T15:22Z,char-contract,0,0
