minute,group,max_divergence,max_prediction_error
2026-08-16T10:06Z,char-asset,0,0
2026-08-16T10:06Z,char-contract,0,0
2026-08-16T10:06Z,char-detail,0,0
2026-08-16T10:06Z,char-industry,0,0
2026-08-16T10:06Z,char-killmail,0,0
2026-08-16T10:06Z,char-location,0,0
2026-08-16T10:06Z,char-notification,0,0
2026-08-16T10:06Z,char-social,0,0
2026-08-16T10:06Z,char-wallet,0,0
2026-08-16T10:06Z,fitting,0,0
2026-08-16T10:07Z,char-asset,0,0
2026-08-16T10:07Z,char-contract,0,0
2026-08-16T10:07Z,char-detail,0,0
2026-08-16T10:07Z,char-industry,0,0
2026-08-16T10:07Z,char-killmail,0,0
2026-08-16T10:07Z,char-location,0,0
2026-08-16T10:07Z,char-notification,0,0
2026-08-16T10:07Z,char-social,0,0
2026-08-16T10:07Z,char-wallet,0,0
2026-08-16T10:07Z,fitting,0,0
2026-08-16T10:08Z,char-asset,0,0
2026-08-16T10:08Z,char-contract,0,0
2026-08-16T10:08Z,char-detail,0,0
2026-08-16T10:08Z,char-industry,0,0
2026-08-16T10:08Z,char-killmail,0,0
2026-08-16T10:08Z,char-location,0,0
2026-08-16T10:08Z,char-notification,0,0
2026-08-16T10:08Z,char-social,0,0
2026-08-16T10:08Z,char-wallet,0,0
2026-08-16T10:08Z,fitting,0,0
2026-08-16T10:09Z,char-asset,0,0
2026-08-16T10:09Z,char-contract,0,0
2026-08-16T10:09Z,char-detail,0,0
2026-08-16T10:09Z,char-industry,0,0
2026-08-16T10:09Z,char-killmail,0,0
2026-08-16T10:09Z,char-location,0,0
2026-08-16T10:09Z,char-notification,0,0
2026-08-16T10:09Z,char-social,0,0
2026-08-16T10:09Z,char-wallet,0,0
2026-08-16T10:09Z,fitting,0,0
2026-08-16T10:10Z,char-asset,0,0
2026-08-16T10:10Z,char-contract,0,0
2026-08-16T10:10Z,char-detail,0,0
2026-08-16T10:10Z,char-industry,0,0
2026-08-16T10:10Z,char-killmail,0,0
2026-08-16T10:10Z,char-location,0,0
2026-08-16T10:10Z,char-notification,0,0
2026-08-16T10:10Z,char-social,0,0
2026-08-16T10:10Z,char-wallet,0,0
2026-08-16T10:10Z,fitting,0,0
2026-08-16T10:11Z,char-asset,0,0
2026-08-16T10:11Z,char-contract,0,0
2026-08-16T10:11Z,char-detail,0,0
2026-08-16T10:11Z,char-industry,0,0
2026-08-16T10:11Z,char-killmail,0,0
2026-08-16T10:11Z,char-location,0,0
2026-08-16T10:11Z,char-notification,0,0
2026-08-16T10:11Z,char-social,0,0
